ticker,time,open,close,high,low,volume
SPX,2025-04-07,4953.79,5062.25,5246.57,4835.04,6239428293
SPX,2025-04-08,5193.57,4982.77,5267.47,4910.42,5074219157
SPX,2025-04-09,4965.28,5456.9,5481.34,4948.43,6666213104
SPX,2025-04-10,5353.15,5268.05,5353.15,5115.27,4796067908
SPX,2025-04-11,5255.56,5363.36,5381.46,5220.77,3746060666
SPX,2025-04-14,5441.96,5405.97,5459.46,5358.02,3281232715
SPX,2025-04-15,5411.99,5396.63,5450.41,5386.44,2806100917
SPX,2025-04-16,5335.75,5275.7,5367.24,5220.79,3336999562
SPX,2025-04-17,5305.45,5282.7,5328.31,5255.58,3140856780
SPX,2025-04-21,5232.94,5158.2,5232.94,5101.63,2953934584
SPX,2025-04-22,5207.67,5287.76,5309.61,5207.67,3049425683
SPX,2025-04-23,5395.92,5375.86,5469.69,5356.17,3535896370
SPX,2025-04-24,5381.38,5484.77,5489.4,5371.96,3138911463
SPX,2025-04-25,5489.73,5525.21,5528.11,5455.86,2943164032
SPX,2025-04-28,5529.22,5528.75,5553.66,5468.64,2767087321
SPX,2025-04-29,5508.87,5560.83,5571.95,5505.7,2812450680
SPX,2025-04-30,5499.44,5569.06,5581.84,5433.24,3742261213
SPX,2025-05-01,5625.14,5604.14,5658.91,5597.35,3224921079
SPX,2025-05-02,5645.88,5686.67,5700.7,5642.28,3010089578
SPX,2025-05-05,5655.32,5650.38,5683.38,5634.48,2693789287
SPX,2025-05-06,5605.87,5606.91,5649.58,5586.04,2767164782
SPX,2025-05-07,5614.18,5631.28,5654.73,5578.64,3197894396
SPX,2025-05-08,5663.6,5663.94,5720.1,5635.38,3208687019
SPX,2025-05-09,5679.65,5659.91,5691.69,5644.15,2429494619
SPX,2025-05-12,5807.2,5844.19,5845.37,5786.08,3756162007
SPX,2025-05-13,5854.15,5886.55,5906.64,5845.02,3512934287
SPX,2025-05-14,5896.74,5892.58,5906.55,5872.11,3445232926
SPX,2025-05-15,5869.82,5916.93,5924.21,5865.16,3138351580
SPX,2025-05-16,5929.09,5958.38,5958.62,5907.36,2931804148
SPX,2025-05-19,5902.88,5963.6,5968.61,5895.69,2576639838
SPX,2025-05-20,5944.66,5940.46,5953.06,5909.26,2543562609
SPX,2025-05-21,5910.18,5844.61,5938.37,5830.91,3112417919
SPX,2025-05-22,5841.26,5842.01,5878.08,5825.82,2780782105
SPX,2025-05-23,5781.89,5802.82,5829.51,5767.41,2550252052
SPX,2025-05-27,5854.07,5921.54,5924.33,5854.07,2882838064
SPX,2025-05-28,5925.54,5888.55,5939.92,5881.88,2613506833
SPX,2025-05-29,5939.96,5912.17,5943.13,5873.8,2851903524
SPX,2025-05-30,5903.67,5911.69,5922.14,5843.66,4812538509
XOM,2025-04-07,100.39,102.94,105.8,98.46,35068450
XOM,2025-04-08,105.46,100.77,105.6,99.01,27147750
XOM,2025-04-09,99.37,105.8,106.58,98.13,30063287
XOM,2025-04-10,103.71,99.93,103.78,97.8,33999317
XOM,2025-04-11,100.3,103.14,103.93,98.79,22884628
