ticker,time,open,close,high,low,volume
VNINDEX,2025-04-04,1159.33,1210.67,1210.67,1158.17,1777882039
VNINDEX,2025-04-08,1173.14,1132.79,1174.4,1130.98,989102100
VNINDEX,2025-04-09,1073.61,1094.3,1141.35,1073.61,1464120095
VNINDEX,2025-04-10,1166.09,1168.34,1168.4,1165.86,215166632
VNINDEX,2025-04-11,1185.86,1222.46,1222.46,1180.59,1734906206
VCB,2025-04-04,56.7,60.0,60.0,56.2,11892239
VCB,2025-04-08,59.8,55.8,59.8,55.8,7191341
VCB,2025-04-09,52.0,52.5,59.7,52.0,9007761
VCB,2025-04-10,56.1,56.1,56.1,56.1,175351
VCB,2025-04-11,59.8,59.8,59.9,58.0,8059500
BID,2025-04-04,33.55,36.0,36.0,33.55,6892436
BID,2025-04-08,35.0,33.5,35.5,33.5,4718118
BID,2025-04-09,31.2,32.45,34.5,31.2,6525942
BID,2025-04-10,34.7,34.7,34.7,34.7,636561
BID,2025-04-11,36.9,36.75,36.9,35.55,6947500
CTG,2025-04-04,36.35,38.7,38.7,36.35,17701874
CTG,2025-04-08,36.1,36.0,38.2,36.0,18699366
CTG,2025-04-09,33.8,33.8,37.0,33.8,17513425
CTG,2025-04-10,36.15,36.15,36.15,36.15,2908401
CTG,2025-04-11,37.0,38.4,38.5,36.55,20246200
TCB,2025-04-04,24.15,25.7,25.75,24.15,56807784
TCB,2025-04-08,25.0,23.95,25.0,23.95,33491013
TCB,2025-04-09,22.3,23.6,24.9,22.3,40806842
TCB,2025-04-10,25.25,25.25,25.25,25.25,1243616
TCB,2025-04-11,26.5,26.6,26.6,25.6,47940500
VPB,2025-04-04,16.8,17.45,17.45,16.65,46818260
VPB,2025-04-08,17.0,16.25,17.2,16.25,24712494
VPB,2025-04-09,15.2,15.95,16.5,15.15,56116778
VPB,2025-04-10,17.05,17.05,17.05,17.05,1667054
VPB,2025-04-11,17.0,17.45,17.65,16.8,60038400
MBB,2025-04-04,21.1,22.45,22.45,21.1,73160211
MBB,2025-04-08,21.15,20.9,21.9,20.9,64574243
MBB,2025-04-09,19.45,20.65,21.4,19.45,61271116
MBB,2025-04-10,22.05,22.05,22.05,22.05,1693323
MBB,2025-04-11,22.5,23.45,23.5,22.4,78951400
ACB,2025-04-04,22.7,23.8,23.8,22.5,72266023
ACB,2025-04-08,23.1,22.15,23.3,22.15,43698654
ACB,2025-04-09,20.75,21.8,22.85,20.75,36870654
ACB,2025-04-10,23.3,23.3,23.3,23.3,998409
ACB,2025-04-11,24.8,24.85,24.9,23.95,35983500
HDB,2025-04-04,19.5,20.8,21.1,19.5,19450053
HDB,2025-04-08,20.4,19.35,20.6,19.35,17304709
HDB,2025-04-09,18.05,18.2,19.65,18.0,19250812
HDB,2025-04-10,19.45,19.45,19.45,19.45,232507
HDB,2025-04-11,20.7,20.7,20.8,19.9,16370600
VIB,2025-04-04,17.85,18.7,18.7,17.4,21904700
VIB,2025-04-08,18.0,17.4,18.05,17.4,10876576
VIB,2025-04-09,16.3,16.95,18.1,16.3,12084170
VIB,2025-04-10,18.1,18.1,18.1,18.1,646526
VIB,2025-04-11,18.8,18.65,18.8,18.2,16422400
LPB,2025-04-04,29.0,32.95,32.95,29.0,9438931
LPB,2025-04-08,32.95,31.2,32.95,30.65,3774026
LPB,2025-04-09,30.4,31.5,32.5,30.0,5336364
LPB,2025-04-10,33.7,33.7,33.7,33.7,475841
LPB,2025-04-11,32.0,34.2,34.25,32.0,7069100
STB,2025-04-04,34.1,37.4,37.5,34.1,38587124
STB,2025-04-08,36.0,34.8,36.9,34.8,50384560
STB,2025-04-09,33.0,33.1,36.0,32.4,30891725
STB,2025-04-10,35.4,35.4,35.4,35.4,231926
STB,2025-04-11,35.4,37.85,37.85,35.4,45803600
