ticker,time,open,close,high,low,volume
VNINDEX,2025-03-03,1306.97,1309.37,1309.77,1304.3,748242113
VNINDEX,2025-03-04,1306.82,1311.91,1313.21,1298.28,872086925
VNINDEX,2025-03-05,1312.84,1304.71,1319.52,1304.71,711384061
VNINDEX,2025-03-06,1308.02,1318.22,1318.22,1307.91,926189171
VNINDEX,2025-03-07,1320.08,1326.05,1327.07,1318.71,825175457
VNINDEX,2025-03-10,1331.6,1330.28,1335.87,1326.51,801944906
VNINDEX,2025-03-11,1319.17,1332.54,1332.54,1315.92,791992117
VNINDEX,2025-03-12,1337.63,1334.41,1342.91,1331.75,811987921
VNINDEX,2025-03-13,1335.66,1326.27,1340.91,1324.87,927789782
VNINDEX,2025-03-14,1325.84,1326.15,1333.32,1324.3,872541760
VNINDEX,2025-03-17,1330.62,1336.26,1336.26,1329.05,780751957
VNINDEX,2025-03-18,1340.16,1330.97,1341.65,1330.97,759403354
VNINDEX,2025-03-19,1330.4,1324.63,1330.7,1320.85,768370525
VNINDEX,2025-03-20,1326.8,1323.93,1332.41,1316.11,783924251
VNINDEX,2025-03-21,1324.0,1321.88,1325.22,1320.67,673776859
VNINDEX,2025-03-24,1322.9,1330.32,1330.32,1316.73,737479570
VNINDEX,2025-03-25,1335.29,1331.92,1337.6,1329.81,772470386
VNINDEX,2025-03-26,1333.33,1326.09,1338.55,1323.69,672071249
VNINDEX,2025-03-27,1325.98,1323.81,1328.82,1323.01,522142993
VNINDEX,2025-03-28,1324.42,1317.46,1325.34,1315.72,601970197
VNINDEX,2025-03-31,1313.51,1306.86,1314.09,1304.1,706353460
VNINDEX,2025-04-01,1313.03,1317.33,1317.46,1308.06,516351102
VNINDEX,2025-04-02,1321.53,1317.83,1324.46,1317.68,668744030
VNINDEX,2025-04-03,1272.87,1229.84,1277.9,1229.41,1594166624
VNINDEX,2025-04-04,1159.33,1210.67,1210.67,1158.17,1777882039
VNINDEX,2025-04-08,1173.14,1132.79,1174.4,1130.98,989102100
VNINDEX,2025-04-09,1073.61,1094.3,1141.35,1073.61,1464120095
VNINDEX,2025-04-10,1166.09,1168.34,1168.4,1165.86,215166632
VNINDEX,2025-04-11,1185.86,1222.46,1222.46,1180.59,1734906206
DHG,2025-03-03,101.8,101.7,101.8,101.3,10272
DHG,2025-03-04,101.6,102.2,102.4,101.6,9505
DHG,2025-03-05,102.0,101.7,102.5,101.5,15989
DHG,2025-03-06,101.8,101.2,102.0,101.2,14192
DHG,2025-03-07,101.4,101.1,101.5,101.0,16189
DHG,2025-03-10,101.2,101.0,101.7,100.5,20181
DHG,2025-03-11,101.0,101.2,101.5,100.5,14537
DHG,2025-03-12,101.9,101.2,101.9,101.0,20170
DHG,2025-03-13,101.2,100.5,101.3,100.5,18242
DHG,2025-03-14,101.8,101.0,101.8,100.2,30030
DHG,2025-03-17,101.5,100.7,101.5,100.6,8972
DHG,2025-03-18,100.1,100.3,101.0,100.1,13301
DHG,2025-03-19,101.0,100.4,101.4,100.3,11030
