ticker,time,open,close,high,low,volume
VNINDEX,2025-07-01,1376.07,1377.84,1382.16,1369.74,725894731
VNINDEX,2025-07-02,1377.84,1384.59,1384.72,1372.27,850174592
VNINDEX,2025-07-03,1384.59,1381.96,1392.39,1377.06,1316396602
VNINDEX,2025-07-04,1381.96,1386.97,1388.04,1379.4,835995342
VNINDEX,2025-07-07,1386.97,1402.06,1402.32,1386.97,1231774285
VNINDEX,2025-07-08,1407.07,1410.64,1411.22,1406.99,76518474
VHM,2025-07-01,76.4,76.3,76.7,74.8,3860973
VHM,2025-07-02,75.3,76.0,76.1,74.7,4381230
VHM,2025-07-03,75.2,76.3,76.8,75.2,3221582
VHM,2025-07-04,76.3,76.0,76.4,75.2,3227630
VHM,2025-07-07,75.7,76.9,76.9,75.3,3509830
VHM,2025-07-08,76.9,77.7,77.9,76.8,182000
VIC,2025-07-01,95.7,95.6,96.5,93.5,2339706
VIC,2025-07-02,94.3,95.4,95.5,94.3,1094369
VIC,2025-07-03,94.6,94.5,95.2,93.9,1894721
VIC,2025-07-04,94.4,91.9,94.4,91.5,3988471
VIC,2025-07-07,91.9,93.0,94.2,91.0,2013788
VIC,2025-07-08,93.0,93.1,93.9,93.0,64300
BCM,2025-07-01,64.6,64.5,64.8,62.8,968943
BCM,2025-07-02,64.5,68.2,68.8,64.0,1410398
BCM,2025-07-03,66.0,66.4,67.1,63.5,1609226
BCM,2025-07-04,66.4,65.5,66.4,64.5,596199
BCM,2025-07-07,66.4,66.0,66.4,65.0,593059
BCM,2025-07-08,67.0,66.7,67.3,66.7,195400
VRE,2025-07-01,24.65,24.8,24.8,24.45,2540683
VRE,2025-07-02,24.8,25.2,25.35,24.6,3834590
VRE,2025-07-03,25.2,25.05,25.2,24.75,6857442
VRE,2025-07-04,25.1,25.15,25.5,25.05,4591603
VRE,2025-07-07,25.2,25.5,25.6,25.1,3749793
VRE,2025-07-08,25.7,25.6,25.8,25.55,351600
NVL,2025-07-01,15.3,15.15,15.3,14.95,9895928
NVL,2025-07-02,15.0,15.1,15.25,14.95,9791654
NVL,2025-07-03,15.05,14.9,15.2,14.9,16316580
NVL,2025-07-04,15.0,15.2,15.45,14.95,19710581
NVL,2025-07-07,15.2,15.3,15.45,15.05,22599813
NVL,2025-07-08,15.4,15.35,15.5,15.35,1935300
KDH,2025-07-01,29.4,29.45,29.65,29.0,1647530
KDH,2025-07-02,29.45,29.2,29.45,29.15,1686686
KDH,2025-07-03,29.2,29.35,29.7,29.2,2215125
KDH,2025-07-04,29.4,29.7,30.1,29.4,3705117
KDH,2025-07-07,29.95,30.0,30.05,29.7,2848413
KDH,2025-07-08,30.1,29.95,30.1,29.95,270400
SSH,2025-07-01,89.3,89.3,89.3,88.5,43100
SSH,2025-07-02,89.3,89.2,89.4,88.7,45101
SSH,2025-07-03,89.3,88.9,89.5,88.7,41905
SSH,2025-07-04,89.0,88.1,89.1,88.0,40800
SSH,2025-07-07,88.3,88.5,88.8,88.3,44415
SSH,2025-07-08,88.6,88.8,88.8,88.6,1200
KBC,2025-07-01,26.55,26.25,27.05,26.25,5176213
KBC,2025-07-02,26.45,27.15,27.2,26.3,9782005
KBC,2025-07-03,26.8,26.6,27.0,26.1,14051082
KBC,2025-07-04,26.5,26.8,26.8,26.45,3323080
KBC,2025-07-07,27.0,26.95,27.25,26.55,5611779
KBC,2025-07-08,27.3,27.55,27.8,27.3,3054300
NLG,2025-07-01,39.35,39.0,39.35,38.7,2052771
NLG,2025-07-02,39.0,38.95,39.0,38.05,1851697
NLG,2025-07-03,38.95,39.0,39.5,38.2,3646203
NLG,2025-07-04,39.3,39.15,40.45,38.9,3295937
NLG,2025-07-07,39.2,39.5,40.0,38.8,2660790
NLG,2025-07-08,39.55,39.45,39.55,39.45,69600
TCH,2025-07-01,20.15,19.9,20.2,19.7,3214293
TCH,2025-07-02,19.8,20.0,20.05,19.75,3780025
TCH,2025-07-03,20.3,19.8,20.5,19.8,8136103
TCH,2025-07-04,19.9,20.9,21.15,19.9,15212170
TCH,2025-07-07,21.35,22.35,22.35,21.05,13081636
TCH,2025-07-08,22.9,23.15,23.75,22.85,1980100
NTL,2025-07-01,18.4,17.9,18.4,17.8,1961371
NTL,2025-07-02,17.9,18.05,18.1,17.8,1956616
NTL,2025-07-03,18.1,18.1,18.6,17.9,6033586
NTL,2025-07-04,18.3,18.55,19.0,18.2,3978287
NTL,2025-07-07,18.9,19.0,19.35,18.5,3936981
NTL,2025-07-08,19.25,19.05,19.3,19.05,288800
